S.No,District,Village Panchayat,School Name,School_id,Category of School,School medium,Pincode,School main area,School located in commerical area,establishment year,Number of Students,Number of Differently abled student,Number of Staff,Number of Classrooms,Number of seats,Number of restrooms,Total School area,Build up area,Extent of land covered by the school,Availabilty of eateries,Availabilty of Mobile eateries,Availabilty of Dining,Availabilty of Hospital,Availabilty of Fire station,Availabilty of Natural tank,Type of Water source,Number of Indian toilets availble for Boys,Number of Indian toilets availble for Girls,Status of the data set collected,Created_date,Modified_date
1,Thiruvallur,Thiruvallur,MUNICIPAL MIDDLE SCHOOL,33010105701,Secondary School,Tamil,602001,Yes,Yes,1940,103,8,8,4,250,2,2500,2000,2500,No,No,Yes,Yes,Yes,No,Own,1,1,Incompleted,10-03-2013,10-03-2013
2,Thiruvallur,Thiruvallur,MUNICIPAL PRIMARY SCHOOL RAJAJI SALAI,33010106101,Primary School,Tamil,602001,Yes,No,1999,87,3,3,4,100,2,2000,2000,2000,Yes,No,No,Yes,Yes,No,Own,1,1,Incompleted,10-03-2013,10-03-2013
3,Thiruvallur,Avadi,AVADI MUNICIPAL PRIMARY SCHOOL,33010505901,Primary School,Tamil,623707,Yes,No,1967,130,0,4,6,5,2,98.17,49.55,98.17,No,No,Yes,No,Yes,No,Own,2,2,Incompleted,10-03-2013,10-03-2013
4,Thiruvallur,Avadi,MUNICIPAL HIGH SCHOOL,33010505902,High School,Tamil,607105,Yes,No,1967,61,2,2,2,0,0,4800,585,4215,No,Yes,Yes,Yes,No,No,Own,2,2,Incompleted,10-03-2013,10-03-2013
5,Thiruvallur,Avadi,AVADI MUNICIPAL PRIMARY SCHOOL,33010506001,Primary School,Tamil,623707,No,Yes,1967,22,0,2,2,0,0,4800,585,4215,No,Yes,Yes,No,Yes,No,Own,2,2,Incompleted,10-03-2013,10-03-2013
6,Thiruvallur,Avadi,AVADI MUNICIPAL MIDDLE SCHOOL,33010506003,Middle School,Tamil,623701,Yes,No,1967,172,3,8,6,220,1,2400,2000,400,No,No,No,No,No,No,Own,2,2,Incompleted,10-03-2013,10-03-2013
7,Thiruvallur,Avadi,MUNICIPAL HIGH SCHOOL AVADI,33010506202,High School,Tamil,630001,Yes,Yes,1967,335,2,18,14,50,2,117000,8702,117000,No,No,Yes,No,No,No,Own,2,2,Incompleted,10-03-2013,10-03-2013
8,Thiruvallur,Avadi,AVADI MUNICIPAL ELEMENTARY SCHOOL,33010507001,Elementary School,Tamil,623701,Yes,No,1967,70,0,3,6,300,0,7800,3800,4000,No,No,Yes,No,Yes,No,Own,2,2,Incompleted,10-03-2013,10-03-2013
9,Thiruvallur,Avadi,AVADI MUNICIPAL PRIMARY SCHOOL,33010507501,Primary School,Tamil,625516,No,No,1967,28,3,2,2,0,3,7200,2400,7200,No,No,Yes,No,No,No,Own,2,2,Incompleted,10-03-2013,10-03-2013
10,Thiruvallur,Avadi,AVADI MUNICIPAL MIDDLE SCHOOL,33010509301,Middle School,Tamil,623707,No,No,1967,255,10,11,11,300,0,8200,7020,1180,No,No,No,No,No,No,Own,2,2,Incompleted,10-03-2013,10-03-2013
11,Thiruvallur,Avadi,AVADI MUNICIPAL MIDDLE SCHOOL,33010509401,Middle School,Tamil,626125,Yes,No,1967,70,3,6,3,0,1,0,0,0,No,No,Yes,Yes,No,No,Own,2,2,Incompleted,10-03-2013,10-03-2013
12,Thiruvallur,Avadi,AVADI MUNICIPAL PRIMARY SCHOOL,33010902902,Primary School,Tamil,623701,No,No,1967,193,1,7,7,0,0,460,303,0,No,No,Yes,No,Yes,No,Own,2,2,Incompleted,10-03-2013,10-03-2013
13,Thiruvallur,Avadi,AVADI MUNICIPAL MIDDLE SCHOOL,33010903201,Middle School,Tamil,625531,Yes,No,1967,268,6,11,10,0,0,33096,25650,0,No,No,Yes,Yes,No,No,Own,2,2,Incompleted,10-03-2013,10-03-2013
14,Thiruvallur,Avadi,AVADI MUNICIPAL PRIMARY SCHOOL,33010903202,Primary School,Tamil,623701,Yes,No,1967,157,8,5,8,8,0,0,5500,5500,No,No,Yes,No,No,No,Own,2,2,Incompleted,10-03-2013,10-03-2013
15,Thiruvallur,Avadi,AVADI MUNICIPAL PRIMARY SCHOOL,33010911907,Primary School,Tamil,600054,No,No,1919,184,2,6,11,0,1,0,0,0,No,No,No,Yes,Yes,No,Corporation,2,2,Incompleted,10-03-2013,10-03-2013
16,Kancheepuram,Kancheepuram,OLI MOHAMAD PET MUNICIPAL MIDDLE SCHOOL,33030105403,Primary School,Tamil,631502,Yes,No,1967,309,12,12,14,0,2,20800,8050,12750,No,No,No,Yes,No,No,Own,2,1,Incompleted,10-03-2013,10-03-2013
17,Kancheepuram,Kancheepuram,K V K NAYAGAR MUNICIPAL MIDDLE SCHOOL,33030105405,Secondary School,Tamil,631502,No,No,1913,90,3,7,7,4,4,753.5,608,145.5,No,No,Yes,No,No,No,Corporation,2,1,Incompleted,10-03-2013,10-03-2013
18,Kancheepuram,Kancheepuram,DHARGA MUSLIM MUNICIPAL PRIMARY SCHOOL,33030105408,Primary School,Tamil,631502,Yes,Yes,1934,46,0,3,3,2,1,234,234,0,Yes,No,Yes,Yes,No,Yes,Corporation,2,1,Incompleted,10-03-2013,10-03-2013
19,Kancheepuram,Kancheepuram,PUDHUPALAYAM MUNICIPAL ELEMENTARY SCHOOL,33030105411,Primary School,Tamil,631501,Yes,No,1934,76,6,4,4,5,0,6019,1800,4219,Yes,No,Yes,Yes,Yes,No,Own,2,3,Incompleted,10-03-2013,10-03-2013
20,Kancheepuram,Kancheepuram,OKKAPIRANTHAN MUNICIPAL MIDDLE SCHOOL,33030105428,Primary School,Tamil,631502,Yes,Yes,1921,107,2,7,6,0,3,1698,1698,0,No,No,No,Yes,Yes,No,Own,0,1,Incompleted,10-03-2013,10-03-2013
21,Kancheepuram,Kancheepuram,YAGASALAI MUNICIPAL MIDDLE SCHOOL,33030105430,Secondary School,Tamil,631501,Yes,Yes,1967,250,2,9,6,150,0,1100,1100,0,Yes,No,Yes,Yes,No,Yes,Corporation,1,1,Incompleted,10-03-2013,10-03-2013
22,Kancheepuram,Kancheepuram,YADHOTHAKARI MUNICIPAL ELEMENTARY SCHOOL,33030105435,Primary School,Tamil,631501,No,No,1939,24,1,2,3,90,0,2200,1600,0,No,No,No,No,No,No,Own,1,1,Incompleted,10-03-2013,10-03-2013
23,Kancheepuram,Kancheepuram,KUPPUSAMY MUNICIPAL ELEMENTARY SCHOOL,33030105459,Primary School,Tamil,631502,Yes,Yes,1967,31,0,2,3,2,0,2375,1775,2375,No,No,Yes,Yes,Yes,Yes,Corporation,3,1,Incompleted,10-03-2013,10-03-2013
24,Kancheepuram,Kancheepuram,PATTALA MUNICIPAL ELEMENTARY SCHOOL,33030105465,Primary School,Tamil,631501,No,Yes,1967,73,2,3,2,153,2,1000,327,373,Yes,No,No,Yes,No,No,Own,1,0,Incompleted,10-03-2013,10-03-2013
25,Kancheepuram,Kancheepuram,E K SANNATHI MUNICIPAL MIDDLE SCHOOL,33030105473,Primary School,Tamil,631501,Yes,No,1919,79,0,5,5,40,6,3487,3487,3487,No,No,No,Yes,Yes,No,Corporation,0,2,Incompleted,10-03-2013,10-03-2013
26,Kancheepuram,Kancheepuram,REDDIPETTAI MUNICIPAL ELEMENTARY SCHOOL,33030105479,Primary School,Tamil,631501,No,No,1967,58,0,3,3,0,3,2500,2500,4500,Yes,No,Yes,Yes,Yes,No,Own,1,1,Incompleted,10-03-2013,10-03-2013
27,Kancheepuram,Kancheepuram,VAIKUNDAM MUNICIPAL MIDDLE SCHOOL,33030105480,Primary School,Tamil,631502,No,No,1968,65,6,4,4,2,2,3000,2000,1000,Yes,No,No,Yes,Yes,Yes,Own,1,1,Incompleted,10-03-2013,10-03-2013
28,Kancheepuram,Chengalpattu,VADAMALAI MIDDLE SCHOOL,33030705214,Primary School,Tamil,603002,No,No,1897,33,1,5,4,130,0,4577,4577,4577,Yes,No,No,Yes,No,No,Corporation,0,1,Incompleted,10-03-2013,10-03-2013
29,Kancheepuram,Chengalpattu,MUNICIPAL PRIMARY SCHOOL,33030705230,Primary School,Tamil,603001,Yes,No,1980,26,5,1,2,0,0,500,2200,2200,Yes,Yes,No,Yes,Yes,Yes,No,3,1,Incompleted,10-03-2013,10-03-2013
30,Kancheepuram,Alandur Mpl,PALLAVARAM MPL MIDDLE SCHOOLKEELKATALAI,33030903105,Primary School,Tamil,600117,No,Yes,1997,330,6,12,9,7,3,2200,1800,2000,No,No,No,No,No,No,Own,1,1,Incompleted,10-03-2013,10-03-2013
31,Kancheepuram,Pallavaram Mpl,MUNICIPAL PRIMARY SCHOOL,33030903207,Primary School,Tamil,600043,Yes,Yes,1932,250,13,12,20,10,10,13475,13000,13475,No,No,No,Yes,Yes,Yes,Own,1,10,Incompleted,10-03-2013,10-03-2013
32,Kancheepuram,Pallavaram Mpl,PALLAVAPURAM MUNICIPAL PRIMARY SCHOOL,33030903212,Primary School,Tamil,600117,No,No,1996,345,0,13,14,10,3,2200,1200,2000,No,No,No,No,No,No,Own,1,2,Incompleted,10-03-2013,10-03-2013
33,Kancheepuram,Pallavaram Mpl,MUNICIPAL HR SEC SCHOOL,33030903213,High School,Tamil,600117,No,No,1981,1033,0,41,25,2,2,0,600,150,No,No,No,Yes,No,No,Own,1,1,Incompleted,10-03-2013,10-03-2013
34,Kancheepuram,Pallavaram Mpl,PALLAVARAM MUNICIPAL ELEMENTARY SCHOOL,33030903221,Primary School,Tamil,600064,No,No,1963,202,0,6,6,4,3,2700,2000,2700,Yes,No,No,No,No,No,Own,1,2,Incompleted,10-03-2013,10-03-2013
35,Kancheepuram,Pallavaram Mpl,MUNICIPAL HRSEC SCHOOL HASTINAPURAM,33030903223,High School,Tamil,600064,Yes,Yes,2011,601,4,26,14,120,0,1400,1200,1200,No,No,No,Yes,Yes,No,Own,10,7,Incompleted,10-03-2013,10-03-2013
36,Kancheepuram,Pallavaram Mpl,P M P SCHOOL ZAMEEN RAYAPETTAI,33030903230,Primary School,Tamil,600044,Yes,No,1924,212,0,7,6,0,0,1850,1050,1850,Yes,No,No,No,No,No,Own,2,1,Incompleted,10-03-2013,10-03-2013
37,Kancheepuram,Pallavaram Mpl,PALLAVAPURAM MUNICIPAL HIGHER SEC SCHOOL,33030903255,High School,Tamil,600044,No,No,2002,537,0,19,10,550,2,4600,1500,3100,No,No,No,No,No,No,Corporation,1,5,Incompleted,10-03-2013,10-03-2013
38,Kancheepuram,Tambaram,MUNICIPAL PRIMARY SCHOOL,33030903330,Primary School,Tamil,600073,No,No,1967,248,9,10,12,10,0,1509,1069,0,No,No,Yes,Yes,No,Yes,Own,2,0,Incompleted,10-03-2013,10-03-2013
39,Kancheepuram,Tambaram,MUNICIPAL HR SEC SCHOOL,33030903331,High School,Tamil,600073,Yes,Yes,1967,0,0,31,25,0,5,0,0,0,No,No,Yes,Yes,No,Yes,No,7,0,Incompleted,10-03-2013,10-03-2013
40,Kancheepuram,Tambaram,MUNICIPAL MIDDLE SCHOOL,33030903336,Primary School,Tamil,600059,Yes,No,1967,64,0,6,4,12,2,22780,6834,726,No,No,No,Yes,No,Yes,Own,1,0,Incompleted,10-03-2013,10-03-2013
41,Kancheepuram,Tambaram,MUNICIPAL MIDDLE SCHOOL,33030903343,Primary School,Tamil,600045,No,No,1967,133,1,7,9,6,2,9080,6000,3080,No,No,Yes,Yes,Yes,Yes,No,5,0,Incompleted,10-03-2013,10-03-2013
42,Kancheepuram,Tambaram,MUNICIPAL PRIMARY SCHOOL,33030903348,Primary School,Tamil,600045,No,Yes,1967,38,0,2,2,0,0,3000,2000,5000,No,No,No,Yes,No,No,No,0,0,Incompleted,10-03-2013,10-03-2013
43,Kancheepuram,Tambaram,TAMBARAM MUNCIPAL MIDDLE SCHOOL,33030903356,Primary School,Tamil,600045,Yes,No,1967,215,0,8,9,0,4,21560,6465,0,No,No,No,Yes,Yes,Yes,No,0,0,Incompleted,10-03-2013,10-03-2013
44,Kancheepuram,Tambaram,GOVT MPL HRSEC SCHOOL,33030903392,High School,Tamil,600045,No,Yes,1967,91,0,9,6,0,0,3860,0,0,No,No,No,Yes,No,No,Own,0,0,Incompleted,10-03-2013,10-03-2013
45,Vellore,Ranipet,MUNICIPAL GIRLS PRIMARY SCHOOL RANIPET,33040600202,Primary School,Tamil,632401,Yes,No,1903,10,0,2,1,15,0,1000,600,0,No,No,No,Yes,Yes,Yes,Own,0,0,Incompleted,10-03-2013,10-03-2013
46,Vellore,Ranipet,MUNICIPAL MIDDLE SCHOOL KARAI,33040600208,Secondary School,Tamil,632401,No,No,1977,100,0,6,6,24,8,12.8,105.7,0,No,No,No,Yes,Yes,Yes,Own,0,4,Incompleted,10-03-2013,10-03-2013
47,Vellore,Ranipet,MUNICIPAL MIDDLE SCHOOL SRINIVASANPET,33040600209,Secondary School,Tamil,632402,No,No,1935,183,2,7,7,200,0,1180,0,0,No,No,No,No,Yes,No,No,0,1,Incompleted,10-03-2013,10-03-2013
48,Vellore,Walajapet,MUNICIPAL MARKET MIDDLE SCHOOL,33040600301,Secondary School,Tamil,632513,Yes,Yes,1935,412,12,14,9,0,3,12880,7323,12880,No,No,No,Yes,Yes,No,Own,0,4,Incompleted,10-03-2013,10-03-2013
49,Vellore,Walajapet,MUNICIPAL CENTRAL PRIMARY SCHOOL,33040600302,Primary School,Tamil,632513,Yes,Yes,1939,84,0,5,8,16,2,6000,4769,6000,No,No,No,Yes,Yes,No,Own,0,1,Incompleted,10-03-2013,10-03-2013
50,Vellore,Walajapet,MUNICIPAL MIXED MIDDLE SCHOOL,33040600305,Secondary School,Tamil,632513,Yes,No,1967,277,7,8,10,10,1,7339,7339,12515,No,No,No,Yes,Yes,No,Own,1,1,Incompleted,10-03-2013,10-03-2013
51,Vellore,Vellore,MUNICIPAL PRIMARY SCHOOL,33041000101,Primary School,Tamil,632004,No,No,1966,23,1,2,2,0,0,1120,1120,1120,No,No,No,No,No,No,Own,4,0,Incompleted,10-03-2013,10-03-2013
52,Vellore,Vellore,CORPORATION PRIMARY SCHOOL,33041000102,Primary School,Tamil,632001,No,No,1931,55,0,2,4,55,0,7645,6000,1645,No,No,Yes,Yes,Yes,Yes,No,1,1,Incompleted,10-03-2013,10-03-2013
53,Vellore,Vellore,MUPS ARUGANTHAMPOONDI,33041000103,Primary School,Tamil,632004,No,No,1940,25,0,2,2,0,2,10500,2200,0,No,No,Yes,No,No,No,Own,3,1,Incompleted,10-03-2013,10-03-2013
54,Vellore,Vellore,MPS BATTAI STREET,33041000104,Primary School,Tamil,632001,No,No,1961,48,3,3,4,0,0,2750,2000,0,Yes,No,Yes,Yes,Yes,Yes,Own,1,0,Incompleted,10-03-2013,10-03-2013
55,Vellore,Vellore,MUNICIPAL MIDDLE SCHOOL,33041000105,Secondary School,Tamil,632001,Yes,No,1972,188,0,10,8,27,0,3700,3200,0,Yes,No,No,Yes,No,No,Own,1,3,Incompleted,10-03-2013,10-03-2013
56,Vellore,Vellore,CHINNANNAN MEISTRI STREET,33041000106,Primary School,Tamil,632001,Yes,No,1963,24,0,2,1,20,0,0,0,0,Yes,Yes,No,Yes,Yes,No,Own,0,0,Incompleted,10-03-2013,10-03-2013
57,Vellore,Vellore,MMS EDA STREET SAIDAPET,33041000107,Secondary School,Tamil,632012,No,Yes,1965,289,0,9,9,0,0,8200,0,0,Yes,Yes,No,Yes,Yes,No,Own,1,1,Incompleted,10-03-2013,10-03-2013
58,Vellore,Vellore,MMS ETTIAMMAN KOIL STREET,33041000108,Secondary School,Tamil,632004,No,Yes,1923,273,7,10,8,0,0,6000,4800,0,No,No,No,Yes,No,No,Corporation,1,2,Incompleted,10-03-2013,10-03-2013
59,Vellore,Vellore,MUNICIPAL PRIMARY SCHOOL,33041000111,Primary School,Tamil,632001,Yes,No,1941,25,0,1,6,180,0,4930,1384,4930,No,No,No,Yes,Yes,No,No,0,1,Incompleted,10-03-2013,10-03-2013
60,Vellore,Vellore,MUNICIPAL PRIMARY SCHOOL,33041000112,Primary School,Tamil,632001,No,No,1982,22,3,2,1,60,1,3740,3000,0,No,No,No,Yes,Yes,No,No,3,1,Incompleted,10-03-2013,10-03-2013
61,Vellore,Vellore,MUNICIPAL PRIMARY SCHOOL,33041000113,Primary School,Tamil,632004,No,Yes,1951,18,1,2,2,0,6,4662,2600,2062,No,No,No,Yes,Yes,No,No,0,0,Incompleted,10-03-2013,10-03-2013
62,Vellore,Vellore,CORP MIDDLE SCHOOL,33041000114,Secondary School,Tamil,632012,No,Yes,1972,149,1,8,10,250,0,6959,4962,0,No,No,No,Yes,No,Yes,No,1,0,Incompleted,10-03-2013,10-03-2013
63,Vellore,Vellore,MUNICIPAL PRIMARY SCHOOL,33041000116,Primary School,Tamil,632001,Yes,No,1965,29,0,2,4,120,1,3000,2800,200,Yes,No,No,Yes,Yes,No,Own,1,1,Incompleted,10-03-2013,10-03-2013
64,Vellore,Vellore,MUNICIPAL SCHOOL PM CHETTY STREET,33041000117,Primary School,Tamil,606612,No,No,1967,38,0,1,2,2,0,420,0,0,No,No,No,Yes,No,No,Own,1,0,Incompleted,10-03-2013,10-03-2013
65,Vellore,Vellore,MPL ELEMENTRY SCHOOL,33041000118,Primary School,Tamil,632012,No,No,1940,65,3,3,3,3,0,7200,4000,5200,Yes,Yes,No,No,No,No,No,1,3,Incompleted,10-03-2013,10-03-2013
66,Vellore,Vellore,MPS SALAVANPET VELLORE,33041000121,Primary School,Tamil,632001,No,No,1965,72,1,2,5,0,5,10825,8660,10925,Yes,Yes,Yes,Yes,No,Yes,Corporation,0,2,Incompleted,10-03-2013,10-03-2013
67,Vellore,Vellore,MUNICIPAL PRIMARY SCHOOL,33041000123,Primary School,Tamil,632004,Yes,Yes,1967,12,0,2,2,25,2,2100,950,2100,No,No,No,Yes,No,No,No,0,1,Incompleted,10-03-2013,10-03-2013
68,Vellore,Vellore,MPS THANDAVARAYAN SCHOOL,33041000124,Primary School,Tamil,632001,Yes,No,1941,25,2,1,2,0,0,1932,0,0,No,No,No,Yes,No,No,No,1,0,Incompleted,10-03-2013,10-03-2013
69,Vellore,Vellore,MUNICIPAL PRIMARY SCHOOL,33041000125,Primary School,Tamil,632004,No,No,1967,30,1,1,2,30,0,6021,1710,0,No,No,No,Yes,No,No,Own,0,1,Incompleted,10-03-2013,10-03-2013
70,Vellore,Vellore,MUNICIPAL MIDDLE SCHOOL,33041000126,Secondary School,Tamil,632012,Yes,Yes,1941,247,8,10,9,243,0,19000,17000,2000,Yes,No,No,Yes,Yes,Yes,Own,1,0,Incompleted,10-03-2013,10-03-2013
71,Vellore,Vellore,MUNICIPAL MIDDLE SCHOOL KALASPALAYAM,33041000127,Secondary School,Tamil,632001,Yes,No,1931,156,3,7,6,200,6,2400,2400,2400,Yes,Yes,Yes,Yes,Yes,No,Own,2,2,Incompleted,10-03-2013,10-03-2013
72,Vellore,Vellore,CORPORATION MIDDLE SCHOOL,33041000128,Secondary School,Tamil,632004,No,No,1923,264,4,10,9,0,0,7864,4250,0,Yes,No,No,Yes,Yes,No,Own,0,2,Incompleted,10-03-2013,10-03-2013
73,Vellore,Vellore,MPL MUSLIM GIRLS PRY SCHOOL,33041000129,Secondary School,Tamil,632001,No,No,1939,65,3,3,3,100,0,4425,2200,0,Yes,No,No,Yes,No,Yes,Corporation,0,0,Incompleted,10-03-2013,10-03-2013
74,Vellore,Vellore,MUNICIPAL URDU PRIMARY SCHOOL,33041000130,Primary School,Tamil,632001,No,No,1968,30,2,3,3,85,0,8250,5800,2450,No,No,No,Yes,Yes,No,Own,1,1,Incompleted,10-03-2013,10-03-2013
75,Vellore,Vellore,MUNICIPAL URDU PRIMARY SCHOOL,33041000132,Primary School,Tamil,632004,Yes,Yes,1967,64,0,4,1,6,0,224,1120,0,No,No,No,Yes,No,No,No,0,0,Incompleted,10-03-2013,10-03-2013
76,Vellore,Vellore,MUNICIPAL URDU PRIMARY SCHOOL,33041000133,Primary School,Tamil,632001,No,No,1962,134,0,6,5,0,0,2400,1700,0,No,No,No,No,No,No,Corporation,1,0,Incompleted,10-03-2013,10-03-2013
77,Vellore,Vellore,MUNICIPAL URDU PRIMARY SCHOOL,33041000134,Primary School,Tamil,632012,Yes,Yes,1962,49,0,3,3,0,0,2540,1500,1040,No,No,No,Yes,No,No,Own,2,2,Incompleted,10-03-2013,10-03-2013
78,Vellore,Vellore,MUNICIPAL HIGH SCHOOL,33041000138,High School,Tamil,632001,Yes,Yes,1940,31,1,5,5,200,1,2023,722,12023,No,No,No,Yes,Yes,No,Own,0,2,Incompleted,10-03-2013,10-03-2013
79,Vellore,Vellore,MUNICIPAL HIGH SCHOOL,33041000141,Secondary School,Tamil,632001,No,No,1965,446,0,21,15,70,0,16780,13180,0,No,No,No,Yes,Yes,No,Own,1,2,Incompleted,10-03-2013,10-03-2013
80,Vellore,Vellore,THOTTAPALAYAM GIRLS HR SEC SCHOOL,33041000142,High School,Tamil,632004,No,No,1949,1556,1,54,34,1500,10,817,817,817,Yes,Yes,No,Yes,No,Yes,Own,0,10,Incompleted,10-03-2013,10-03-2013
81,Vellore,Gudiyatham,MUNICIPAL ELEMENTARY SCHOOL,33041505102,Primary School,Tamil,632602,Yes,No,1961,64,3,3,5,80,0,7489,3990,3499,Yes,No,No,Yes,Yes,No,Corporation,0,1,Incompleted,10-03-2013,10-03-2013
82,Vellore,Gudiyatham,MUNICIPAL URDU BOYS ELEMENTARY SCHOOL,33041505104,Primary School,Tamil,632602,Yes,No,1930,25,0,3,3,70,0,2280,2280,0,Yes,No,Yes,Yes,Yes,Yes,Corporation,0,0,Incompleted,10-03-2013,10-03-2013
83,Vellore,Gudiyatham,MUNICIPAL ELEMENTARY SCHOOL,33041505107,Primary School,Tamil,632602,Yes,No,1940,70,5,3,3,90,0,7844,3391,4453,Yes,No,No,Yes,Yes,No,Corporation,2,1,Incompleted,10-03-2013,10-03-2013
84,Vellore,Gudiyatham,MUNICIPAL MUSLIM BOYS ELEMENTARY SCHOOL,33041505108,Primary School,Tamil,632602,No,No,1940,40,0,3,3,50,0,5572,1928,3644,Yes,No,No,Yes,Yes,No,Corporation,2,0,Incompleted,10-03-2013,10-03-2013
85,Vellore,Gudiyatham,MUNICIPAL MUSLIM GIRLS ELEMENTARY SCHOOL,33041505109,Primary School,Tamil,632602,Yes,No,1940,50,0,3,2,60,0,7782,2748,5034,Yes,No,Yes,Yes,Yes,Yes,Corporation,0,1,Incompleted,10-03-2013,10-03-2013
86,Vellore,Gudiyatham,MUNICIPAL ELEMENTARY SCHOOL,33041505122,Primary School,Tamil,632602,Yes,No,1939,52,1,2,1,125,3,250,1032,0,Yes,No,Yes,No,No,No,Corporation,1,1,Incompleted,10-03-2013,10-03-2013
87,Vellore,Gudiyatham,MUNICIPAL ELEMENTARY SHOOL,33041505147,Primary School,Tamil,632602,No,No,1940,63,6,4,4,7,0,5800,3812,1988,Yes,No,Yes,Yes,Yes,Yes,Corporation,1,1,Incompleted,10-03-2013,10-03-2013
88,Vellore,Gudiyatham,MUNICIPAL MUSLIM BOYS ELEMENTARY SCHOOL,33041505148,Primary School,Tamil,632602,No,No,1940,37,0,2,1,45,0,11360,1987,9381,Yes,No,No,Yes,Yes,Yes,Corporation,1,0,Incompleted,10-03-2013,10-03-2013
89,Vellore,Gudiyatham,MUNICIPAL GIRLS ELE SCHOOL,33041505149,Primary School,Tamil,632602,No,No,1954,59,0,3,2,60,0,11368,2051,9317,Yes,No,No,Yes,Yes,Yes,Corporation,1,1,Incompleted,10-03-2013,10-03-2013
90,Vellore,Agaram,MUNICIPAL PRIMARY SCHOOL,33041703401,Primary School,Tamil,632002,No,Yes,1967,21,0,2,2,15,4,4800,1480,4800,No,No,No,Yes,Yes,No,No,0,0,Incompleted,10-03-2013,10-03-2013
91,Vellore,Vaniyambadi,MMGM SCHOOL FORT VANIYAMBADI,33041901516,High School,Tamil,635751,Yes,No,1933,158,1,8,8,160,2,4500,1489,4500,Yes,No,No,Yes,No,Yes,Own,1,1,Incompleted,10-03-2013,10-03-2013
92,Vellore,Vadakkupattu,MMGM SCHOOL KHADERPET VNB,33041901517,High School,English,635751,Yes,Yes,1967,295,4,9,7,300,0,9890,0,0,No,No,No,Yes,Yes,No,No,1,5,Incompleted,10-03-2013,10-03-2013
93,Vellore,Vadakkupattu,MUNICIPAL MUSLIM BOYS PRIMARY SCHOOL,33041901522,Primary School,Tamil,635751,No,No,1952,21,0,3,5,6,0,1700,1700,1700,No,No,No,Yes,No,No,Own,1,0,Incompleted,10-03-2013,10-03-2013
94,Vellore,Vadakkupattu,MUNICIPAL MIDDLE SCHOOL KONAMEDU,33041901523,Secondary School,Tamil,635751,Yes,Yes,1967,212,6,10,8,0,0,6691,0,6691,Yes,No,Yes,Yes,No,Yes,Own,0,1,Incompleted,10-03-2013,10-03-2013
95,Vellore,Vaniyambadi,MUSLIM BOYS MIDDLE SHOOL,33041901524,High School,English,635751,Yes,No,1940,0,0,14,13,16,0,34000,0,4800,No,No,No,Yes,Yes,No,Own,0,1,Incompleted,10-03-2013,10-03-2013
96,Vellore,Vadakkupattu,MUNICIPAL HINDU PUDUR,33041901525,Primary School,Tamil,635752,Yes,No,1941,130,0,6,6,0,1,0,6563,17137,No,No,No,Yes,Yes,Yes,Own,0,1,Incompleted,10-03-2013,10-03-2013
97,Vellore,Natrampalli,MUNICIPAL HINDU MIDDLE SCHOOL PERIYAPET,33041902901,High School,Tamil,635751,No,No,1948,130,2,6,10,0,8,7540,0,0,No,No,No,Yes,Yes,Yes,Own,0,2,Incompleted,10-03-2013,10-03-2013
98,Vellore,Tirupattur,ARIGNAR ANNA MUNICIPAL SCHOOL,33042102001,Primary School,Tamil,635601,No,No,1968,67,1,2,7,10,3,6340,4030,0,Yes,No,Yes,No,No,No,Corporation,1,1,Incompleted,10-03-2013,10-03-2013
99,Vellore,Tirupattur,CKS MANI MUNICIPAL PRIMARY SCHOOL,33042102002,Primary School,Tamil,635601,Yes,No,1960,23,2,2,6,0,3,7975,2667,0,Yes,Yes,Yes,Yes,Yes,No,Corporation,1,1,Incompleted,10-03-2013,10-03-2013
100,Vellore,Tirupattur,MUNIPAL PRIMARY SCHOOL SRI RAMNILAYAM,33042102003,Primary School,Tamil,635601,No,Yes,1946,23,0,2,3,0,2,1450,0,0,No,No,Yes,Yes,No,No,Corporation,1,0,Incompleted,10-03-2013,10-03-2013
101,Vellore,Tirupattur,MUNICIPAL PRIMARY SCHOOL GOMTHAMPET,33042102004,Primary School,Tamil,635601,Yes,No,1940,63,1,2,4,45,0,1605,1605,1605,No,No,Yes,No,No,No,No,1,1,Incompleted,10-03-2013,10-03-2013
102,Vellore,Tirupattur,MUNICIPAL PRIMARY SCHOOL,33042102005,Primary School,Tamil,635601,No,No,1932,53,0,2,5,7,3,2400,0,0,No,No,Yes,Yes,Yes,No,No,6,1,Incompleted,10-03-2013,10-03-2013
103,Vellore,Tirupattur,MUNICIPAL OLD MUSLIM BOYS MIDDLE SCHOOL,33042102007,Primary School,Tamil,635601,No,Yes,1940,198,4,8,6,11,2,312,312,0,No,No,No,No,No,Yes,Corporation,1,0,Incompleted,10-03-2013,10-03-2013
104,Vellore,Tirupattur,MPL OLD MUSLIM GRILS MIDDLE SCHOOL,33042102008,Secondary School,Tamil,635601,No,No,1938,177,1,7,6,12,0,373,373,0,No,No,No,No,No,Yes,Own,1,1,Incompleted,10-03-2013,10-03-2013
105,Vellore,Tirupattur,MUNICIPAL URDU ELE SCHOOL,33042102010,Primary School,Tamil,635601,Yes,Yes,1926,12,0,2,2,10,2,1000,1000,0,No,No,No,No,No,Yes,Own,1,0,Incompleted,10-03-2013,10-03-2013
